From Date,To Date,PM10,PM2.5,CO,Ozone,NO2
01-01-2023 00:00,01-01-2023 01:00,196.0,143.0,0.93,7.08,51.67
01-01-2023 01:00,01-01-2023 02:00,,144.0,0.62,7.7,51.7
01-01-2023 02:00,01-01-2023 03:00,,136.5,0.5,6.88,51.0
01-01-2023 03:00,01-01-2023 04:00,,135.25,0.58,7.48,48.47
01-01-2023 04:00,01-01-2023 05:00,,144.25,0.7,6.15,43.95
01-01-2023 05:00,01-01-2023 06:00,,134.0,0.8,5.15,40.48
01-01-2023 06:00,01-01-2023 07:00,,104.75,0.57,7.05,41.47
01-01-2023 07:00,01-01-2023 08:00,,88.75,0.5,6.2,43.03
01-01-2023 08:00,01-01-2023 09:00,,86.0,0.87,8.72,44.85
01-01-2023 09:00,01-01-2023 10:00,,80.0,0.97,17.23,59.33
01-01-2023 10:00,01-01-2023 11:00,,,0.93,37.2,77.05
01-01-2023 11:00,01-01-2023 12:00,,,0.87,64.6,79.4
01-01-2023 12:00,01-01-2023 13:00,,,0.67,79.4,71.78
01-01-2023 13:00,01-01-2023 14:00,,,0.53,89.65,69.42
01-01-2023 14:00,01-01-2023 15:00,,,0.6,94.0,66.58
01-01-2023 15:00,01-01-2023 16:00,,,0.5,94.03,68.05
01-01-2023 16:00,01-01-2023 17:00,,,0.6,89.12,65.07
01-01-2023 17:00,01-01-2023 18:00,,,0.63,54.9,67.85
01-01-2023 18:00,01-01-2023 19:00,,,1.0,21.4,73.45
01-01-2023 19:00,01-01-2023 20:00,,,1.72,7.7,78.97
01-01-2023 20:00,01-01-2023 21:00,,,2.35,6.78,69.9
01-01-2023 21:00,01-01-2023 22:00,,,1.82,5.35,67.55
01-01-2023 22:00,01-01-2023 23:00,,,2.6,5.95,72.65
01-01-2023 23:00,02-01-2023 00:00,,,3.03,9.7,62.82
02-01-2023 00:00,02-01-2023 01:00,,,3.0,24.85,53.98
02-01-2023 01:00,02-01-2023 02:00,,,1.8,33.7,65.7
02-01-2023 02:00,02-01-2023 03:00,,,0.3,32.38,56.1
02-01-2023 03:00,02-01-2023 04:00,,,,21.02,64.0
02-01-2023 04:00,02-01-2023 05:00,,,,18.0,60.8
02-01-2023 05:00,02-01-2023 06:00,,,0.53,32.9,57.85
02-01-2023 06:00,02-01-2023 07:00,,,0.62,23.25,58.55
02-01-2023 07:00,02-01-2023 08:00,,,0.53,20.85,60.7
02-01-2023 08:00,02-01-2023 09:00,,,0.8,22.6,60.0
02-01-2023 09:00,02-01-2023 10:00,,,1.02,19.38,65.88
02-01-2023 10:00,02-01-2023 11:00,,,1.1,27.95,75.8
02-01-2023 11:00,02-01-2023 12:00,,,1.27,38.17,85.92
02-01-2023 12:00,02-01-2023 13:00,448.0,364.0,1.02,49.8,87.67
02-01-2023 13:00,02-01-2023 14:00,460.25,361.25,0.93,58.2,84.35
02-01-2023 14:00,02-01-2023 15:00,471.75,348.0,0.77,59.65,81.28
02-01-2023 15:00,02-01-2023 16:00,389.5,324.0,0.85,53.3,80.97
02-01-2023 16:00,02-01-2023 17:00,362.25,290.0,0.9,40.75,76.2
02-01-2023 17:00,02-01-2023 18:00,334.75,263.25,0.8,20.85,80.35
02-01-2023 18:00,02-01-2023 19:00,319.0,243.25,1.15,9.2,73.95
02-01-2023 19:00,02-01-2023 20:00,307.75,234.0,1.12,8.43,74.8
02-01-2023 20:00,02-01-2023 21:00,293.75,232.25,1.1,7.65,65.75
02-01-2023 21:00,02-01-2023 22:00,276.5,232.75,0.95,6.2,59.2
02-01-2023 22:00,02-01-2023 23:00,277.75,218.0,0.9,6.85,52.53
02-01-2023 23:00,03-01-2023 00:00,240.0,203.5,0.97,7.0,48.25
03-01-2023 00:00,03-01-2023 01:00,237.0,205.0,1.13,7.6,47.02
03-01-2023 01:00,03-01-2023 02:00,241.0,194.0,0.92,6.5,56.53
03-01-2023 02:00,03-01-2023 03:00,249.25,198.0,0.8,7.2,53.2
03-01-2023 03:00,03-01-2023 04:00,287.75,210.0,0.27,11.82,60.75
03-01-2023 04:00,03-01-2023 05:00,335.75,217.75,0.03,18.73,59.33
03-01-2023 05:00,03-01-2023 06:00,359.75,242.25,0.77,15.65,53.48
03-01-2023 06:00,03-01-2023 07:00,350.0,241.25,0.75,19.27,51.95
03-01-2023 07:00,03-01-2023 08:00,283.75,228.25,0.73,20.55,52.42
03-01-2023 08:00,03-01-2023 09:00,265.0,232.75,0.8,17.82,53.35
03-01-2023 09:00,03-01-2023 10:00,255.75,236.75,0.88,19.5,60.75
03-01-2023 10:00,03-01-2023 11:00,309.5,243.75,1.0,25.45,67.28
03-01-2023 11:00,03-01-2023 12:00,320.5,251.5,1.03,32.52,71.88
03-01-2023 12:00,03-01-2023 13:00,353.5,261.0,1.0,44.7,73.17
03-01-2023 13:00,03-01-2023 14:00,379.25,265.75,0.92,41.85,74.25
03-01-2023 14:00,03-01-2023 15:00,402.5,263.75,0.82,50.18,71.88
03-01-2023 15:00,03-01-2023 16:00,363.0,272.5,0.8,54.6,71.95
03-01-2023 16:00,03-01-2023 17:00,365.0,275.75,0.8,38.85,69.7
03-01-2023 17:00,03-01-2023 18:00,,,,,60.45
03-01-2023 18:00,03-01-2023 19:00,343.0,259.0,0.75,11.42,72.75
03-01-2023 19:00,03-01-2023 20:00,356.0,268.25,0.7,5.7,74.85
03-01-2023 20:00,03-01-2023 21:00,400.25,292.75,0.78,3.95,74.0
03-01-2023 21:00,03-01-2023 22:00,412.75,281.75,1.03,3.25,69.15
03-01-2023 22:00,03-01-2023 23:00,392.75,262.33,0.7,6.25,63.97
03-01-2023 23:00,04-01-2023 00:00,354.5,234.5,0.8,3.9,57.83
04-01-2023 00:00,04-01-2023 01:00,320.75,230.33,0.72,3.03,56.25
