From Date,To Date,PM10,PM2.5,CO,Ozone,NO2
01-01-2023 00:00,01-01-2023 01:00,145.93,86.81,0.63,9.65,28.85
01-01-2023 01:00,01-01-2023 02:00,139.02,90.23,0.57,10.4,24.5
01-01-2023 02:00,01-01-2023 03:00,104.58,64.56,0.55,9.84,25.62
01-01-2023 03:00,01-01-2023 04:00,97.69,55.32,0.55,9.56,27.98
01-01-2023 04:00,01-01-2023 05:00,94.1,70.45,0.57,9.95,30.31
01-01-2023 05:00,01-01-2023 06:00,96.32,81.63,0.52,9.91,28.58
01-01-2023 06:00,01-01-2023 07:00,114.22,90.92,0.56,9.78,25.99
01-01-2023 07:00,01-01-2023 08:00,102.02,83.04,0.65,9.63,32.49
01-01-2023 08:00,01-01-2023 09:00,96.69,73.54,0.6,11.08,33.22
01-01-2023 09:00,01-01-2023 10:00,96.18,64.15,0.54,14.38,35.83
01-01-2023 10:00,01-01-2023 11:00,118.39,80.06,0.49,16.85,30.29
01-01-2023 11:00,01-01-2023 12:00,103.29,73.0,0.47,20.16,29.14
01-01-2023 12:00,01-01-2023 13:00,101.36,67.55,0.44,24.76,26.47
01-01-2023 13:00,01-01-2023 14:00,97.54,66.61,0.37,33.66,18.11
01-01-2023 14:00,01-01-2023 15:00,92.15,68.06,0.35,37.7,16.38
01-01-2023 15:00,01-01-2023 16:00,94.12,62.16,0.29,36.05,20.6
01-01-2023 16:00,01-01-2023 17:00,82.66,44.17,0.32,30.53,26.96
01-01-2023 17:00,01-01-2023 18:00,91.76,49.03,0.43,11.62,49.93
01-01-2023 18:00,01-01-2023 19:00,127.69,70.02,0.72,7.85,48.69
01-01-2023 19:00,01-01-2023 20:00,206.51,85.76,1.32,7.62,34.49
01-01-2023 20:00,01-01-2023 21:00,252.9,102.53,1.41,7.85,32.05
01-01-2023 21:00,01-01-2023 22:00,277.71,118.74,1.82,8.01,23.63
01-01-2023 22:00,01-01-2023 23:00,343.45,167.18,1.96,8.06,13.39
01-01-2023 23:00,02-01-2023 00:00,316.88,201.3,1.47,8.44,29.67
02-01-2023 00:00,02-01-2023 01:00,285.7,205.98,1.53,8.62,21.2
02-01-2023 01:00,02-01-2023 02:00,368.33,222.42,1.98,9.01,17.99
02-01-2023 02:00,02-01-2023 03:00,352.35,209.98,1.93,8.57,6.28
02-01-2023 03:00,02-01-2023 04:00,232.73,171.72,1.15,8.47,16.08
02-01-2023 04:00,02-01-2023 05:00,190.27,140.68,0.92,8.43,18.69
02-01-2023 05:00,02-01-2023 06:00,208.34,203.97,0.75,8.82,29.69
02-01-2023 06:00,02-01-2023 07:00,234.65,191.51,0.66,9.96,33.15
02-01-2023 07:00,02-01-2023 08:00,250.76,194.97,0.7,9.54,35.0
02-01-2023 08:00,02-01-2023 09:00,252.99,188.58,0.73,9.45,36.83
02-01-2023 09:00,02-01-2023 10:00,238.0,186.8,0.83,10.65,38.99
02-01-2023 10:00,02-01-2023 11:00,235.4,191.74,0.69,12.94,49.2
02-01-2023 11:00,02-01-2023 12:00,251.3,194.32,0.64,18.83,55.77
02-01-2023 12:00,02-01-2023 13:00,278.06,187.1,0.6,24.29,57.01
02-01-2023 13:00,02-01-2023 14:00,306.85,279.64,0.86,17.88,71.29
02-01-2023 14:00,02-01-2023 15:00,351.02,274.4,0.96,20.7,64.89
02-01-2023 15:00,02-01-2023 16:00,321.49,251.15,0.86,21.86,55.59
02-01-2023 16:00,02-01-2023 17:00,384.53,245.83,0.84,15.27,58.67
02-01-2023 17:00,02-01-2023 18:00,370.7,231.64,0.76,10.61,52.41
02-01-2023 18:00,02-01-2023 19:00,235.79,211.95,0.61,9.87,28.38
02-01-2023 19:00,02-01-2023 20:00,201.57,172.69,0.6,9.03,29.1
02-01-2023 20:00,02-01-2023 21:00,200.07,162.29,0.8,8.83,25.83
02-01-2023 21:00,02-01-2023 22:00,231.92,167.96,0.69,8.93,20.4
