From Date,To Date,PM10,PM2.5,CO,Ozone,NO2
01-01-2023 11:00,01-01-2023 12:00,274.75,162.25,1.25,39.02,29.8
01-01-2023 12:00,01-01-2023 13:00,272.25,154.5,1.07,51.95,23.8
01-01-2023 13:00,01-01-2023 14:00,227.75,137.75,0.88,58.73,18.3
01-01-2023 14:00,01-01-2023 15:00,188.75,106.5,0.83,60.53,17.6
01-01-2023 15:00,01-01-2023 16:00,177.5,94.25,0.8,57.98,17.73
01-01-2023 16:00,01-01-2023 17:00,161.75,90.75,0.82,47.98,21.6
01-01-2023 17:00,01-01-2023 18:00,160.5,97.5,1.07,20.57,39.25
01-01-2023 18:00,01-01-2023 19:00,177.0,102.0,1.7,6.38,45.48
01-01-2023 19:00,01-01-2023 20:00,294.5,154.25,2.93,9.15,48.85
01-01-2023 20:00,01-01-2023 21:00,431.75,264.75,4.15,11.55,49.38
01-01-2023 21:00,01-01-2023 22:00,556.0,360.75,4.4,13.12,46.78
01-01-2023 22:00,01-01-2023 23:00,615.25,460.25,4.28,11.82,39.15
01-01-2023 23:00,02-01-2023 00:00,577.5,426.5,4.03,11.05,37.52
02-01-2023 00:00,02-01-2023 01:00,517.75,400.25,1.8,8.78,27.27
02-01-2023 01:00,02-01-2023 02:00,404.75,328.75,1.6,11.0,22.38
02-01-2023 02:00,02-01-2023 03:00,377.25,312.5,2.0,29.55,20.0
02-01-2023 03:00,02-01-2023 04:00,395.5,315.25,1.95,57.67,24.38
02-01-2023 04:00,02-01-2023 05:00,409.75,291.0,1.55,29.87,26.18
02-01-2023 05:00,02-01-2023 06:00,351.25,247.75,1.23,15.65,23.55
02-01-2023 06:00,02-01-2023 07:00,267.0,204.5,1.08,12.23,22.92
02-01-2023 07:00,02-01-2023 08:00,241.75,195.25,1.08,11.15,24.73
02-01-2023 08:00,02-01-2023 09:00,269.75,206.25,1.23,12.2,25.62
02-01-2023 09:00,02-01-2023 10:00,316.75,231.75,1.35,16.02,26.33
02-01-2023 10:00,02-01-2023 11:00,338.25,247.0,1.4,20.77,27.15
