From Date,To Date,PM10,PM2.5,CO,Ozone,NO2
01-01-2023 00:00,01-01-2023 01:00,302.0,198.75,1.33,33.3,6.4
01-01-2023 01:00,01-01-2023 02:00,242.0,154.0,1.27,29.35,5.05
01-01-2023 02:00,01-01-2023 03:00,212.0,157.25,1.19,32.12,5.6
01-01-2023 03:00,01-01-2023 04:00,249.0,200.0,1.08,30.07,6.75
01-01-2023 04:00,01-01-2023 05:00,236.0,172.0,1.01,32.78,8.95
01-01-2023 05:00,01-01-2023 06:00,237.0,166.0,0.89,34.4,10.62
01-01-2023 06:00,01-01-2023 07:00,209.0,132.75,0.86,29.55,9.68
01-01-2023 07:00,01-01-2023 08:00,167.0,104.0,0.9,29.5,8.78
01-01-2023 08:00,01-01-2023 09:00,154.0,110.0,1.04,34.38,8.43
01-01-2023 09:00,01-01-2023 10:00,196.0,137.0,0.95,35.25,14.25
01-01-2023 10:00,01-01-2023 11:00,176.0,120.0,0.94,35.2,42.17
01-01-2023 11:00,01-01-2023 12:00,197.0,131.0,0.81,35.02,22.07
01-01-2023 12:00,01-01-2023 13:00,159.0,101.0,0.65,42.83,10.15
01-01-2023 13:00,01-01-2023 14:00,145.0,92.0,0.58,56.43,4.55
01-01-2023 14:00,01-01-2023 15:00,144.0,74.0,0.53,48.02,2.35
01-01-2023 15:00,01-01-2023 16:00,101.0,64.0,0.6,55.6,3.9
01-01-2023 16:00,01-01-2023 17:00,140.0,91.0,0.49,55.05,5.17
01-01-2023 17:00,01-01-2023 18:00,110.0,70.0,0.5,24.75,8.47
01-01-2023 18:00,01-01-2023 19:00,110.0,61.0,0.6,27.1,11.75
01-01-2023 19:00,01-01-2023 20:00,177.0,112.0,0.83,44.37,11.15
01-01-2023 20:00,01-01-2023 21:00,281.0,186.0,1.13,48.98,9.1
01-01-2023 21:00,01-01-2023 22:00,299.0,205.0,1.38,53.68,10.8
01-01-2023 22:00,01-01-2023 23:00,320.0,209.25,1.92,66.5,15.0
01-01-2023 23:00,02-01-2023 00:00,426.0,289.0,2.16,74.43,16.33
02-01-2023 00:00,02-01-2023 01:00,464.0,302.75,1.64,60.92,13.25
02-01-2023 01:00,02-01-2023 02:00,386.0,271.75,1.56,56.12,13.88
02-01-2023 02:00,02-01-2023 03:00,282.0,227.75,1.55,55.5,12.62
02-01-2023 03:00,02-01-2023 04:00,264.0,209.0,1.36,49.82,10.07
02-01-2023 04:00,02-01-2023 05:00,239.0,180.75,1.18,43.35,7.55
02-01-2023 05:00,02-01-2023 06:00,234.0,165.0,1.12,38.35,6.37
02-01-2023 06:00,02-01-2023 07:00,216.0,148.0,1.07,30.62,5.55
02-01-2023 07:00,02-01-2023 08:00,200.0,134.0,0.99,33.77,7.03
02-01-2023 08:00,02-01-2023 09:00,202.0,138.0,0.97,36.63,9.65
02-01-2023 09:00,02-01-2023 10:00,224.0,150.0,0.97,45.58,12.67
02-01-2023 10:00,02-01-2023 11:00,229.0,164.0,0.94,48.87,9.75
02-01-2023 11:00,02-01-2023 12:00,217.0,164.0,0.97,54.55,11.27
02-01-2023 12:00,02-01-2023 13:00,238.0,178.0,0.99,57.45,9.35
02-01-2023 13:00,02-01-2023 14:00,250.0,186.0,1.0,59.32,9.95
02-01-2023 14:00,02-01-2023 15:00,260.0,191.0,0.98,61.47,12.73
02-01-2023 15:00,02-01-2023 16:00,279.0,194.0,0.96,61.95,15.0
02-01-2023 16:00,02-01-2023 17:00,302.0,202.0,0.87,59.77,13.93
02-01-2023 17:00,02-01-2023 18:00,318.0,203.0,0.91,47.05,10.5
02-01-2023 18:00,02-01-2023 19:00,334.0,211.0,1.11,46.27,14.03
02-01-2023 19:00,02-01-2023 20:00,412.0,239.0,1.18,36.17,14.8
02-01-2023 20:00,02-01-2023 21:00,361.0,215.0,1.4,38.75,12.57
02-01-2023 21:00,02-01-2023 22:00,420.0,256.0,1.52,44.58,13.03
02-01-2023 22:00,02-01-2023 23:00,401.0,267.0,1.46,44.82,11.92
02-01-2023 23:00,03-01-2023 00:00,418.0,270.0,1.29,51.03,18.97
03-01-2023 00:00,03-01-2023 01:00,449.0,274.0,1.43,54.93,18.85
03-01-2023 01:00,03-01-2023 02:00,500.0,310.0,1.2,45.35,13.5
03-01-2023 02:00,03-01-2023 03:00,421.0,265.0,0.89,45.02,10.02
03-01-2023 03:00,03-01-2023 04:00,399.0,266.75,0.88,39.98,9.38
03-01-2023 04:00,03-01-2023 05:00,322.0,231.0,0.87,42.15,10.35
03-01-2023 05:00,03-01-2023 06:00,323.0,228.0,0.83,42.08,9.95
03-01-2023 06:00,03-01-2023 07:00,282.0,205.0,0.8,43.27,10.27
03-01-2023 07:00,03-01-2023 08:00,273.0,188.0,0.78,37.72,7.2
03-01-2023 08:00,03-01-2023 09:00,294.0,191.0,0.81,40.65,6.25
03-01-2023 09:00,03-01-2023 10:00,319.0,199.25,0.85,45.48,9.25
03-01-2023 10:00,03-01-2023 11:00,335.0,225.0,0.88,46.72,11.53
03-01-2023 11:00,03-01-2023 12:00,340.0,225.0,0.89,49.7,14.3
03-01-2023 12:00,03-01-2023 13:00,355.0,237.0,0.87,55.15,14.35
03-01-2023 13:00,03-01-2023 14:00,360.0,233.0,0.84,63.55,14.85
03-01-2023 14:00,03-01-2023 15:00,351.0,205.0,0.81,71.17,10.43
03-01-2023 15:00,03-01-2023 16:00,339.0,203.0,0.87,67.68,9.43
03-01-2023 16:00,03-01-2023 17:00,331.0,211.0,0.84,62.0,10.18
03-01-2023 17:00,03-01-2023 18:00,346.0,232.0,0.97,46.92,13.12
03-01-2023 18:00,03-01-2023 19:00,357.0,221.25,1.1,39.65,14.8
03-01-2023 19:00,03-01-2023 20:00,456.0,285.0,1.16,35.77,14.13
03-01-2023 20:00,03-01-2023 21:00,476.0,296.75,1.21,39.52,16.65
03-01-2023 21:00,03-01-2023 22:00,476.0,259.0,1.11,42.8,17.7
03-01-2023 22:00,03-01-2023 23:00,393.0,211.0,1.01,34.7,10.8
03-01-2023 23:00,04-01-2023 00:00,354.0,196.0,1.01,39.97,9.2
04-01-2023 00:00,04-01-2023 01:00,314.0,181.0,0.95,35.35,10.6
04-01-2023 01:00,04-01-2023 02:00,319.0,181.0,0.9,32.42,11.45
04-01-2023 02:00,04-01-2023 03:00,392.0,172.0,0.83,33.83,9.9
04-01-2023 03:00,04-01-2023 04:00,306.0,163.0,0.77,27.82,8.62
04-01-2023 04:00,04-01-2023 05:00,195.0,115.0,0.66,32.18,7.67
04-01-2023 05:00,04-01-2023 06:00,201.0,119.0,0.64,35.08,5.9
04-01-2023 06:00,04-01-2023 07:00,170.0,111.0,0.66,40.73,5.1
04-01-2023 07:00,04-01-2023 08:00,170.0,124.0,0.68,37.17,5.17
04-01-2023 08:00,04-01-2023 09:00,147.0,116.75,0.68,38.47,6.17
04-01-2023 09:00,04-01-2023 10:00,163.0,116.0,0.71,38.42,9.65
04-01-2023 10:00,04-01-2023 11:00,186.0,143.0,0.71,39.05,10.55
04-01-2023 11:00,04-01-2023 12:00,225.0,148.0,0.68,42.25,10.3
04-01-2023 12:00,04-01-2023 13:00,224.0,151.25,0.69,48.82,7.12
04-01-2023 13:00,04-01-2023 14:00,232.0,170.0,0.78,47.95,9.35
04-01-2023 14:00,04-01-2023 15:00,271.0,180.0,0.79,47.45,23.05
04-01-2023 15:00,04-01-2023 16:00,246.0,163.0,0.8,42.22,12.73
04-01-2023 16:00,04-01-2023 17:00,227.0,146.0,0.71,41.33,11.53
04-01-2023 17:00,04-01-2023 18:00,188.0,124.0,0.75,29.33,11.75
04-01-2023 18:00,04-01-2023 19:00,219.0,145.0,0.97,29.92,11.5
04-01-2023 19:00,04-01-2023 20:00,243.0,159.25,1.26,50.67,8.78
04-01-2023 20:00,04-01-2023 21:00,345.0,268.25,1.97,77.35,14.35
04-01-2023 21:00,04-01-2023 22:00,477.0,326.0,1.89,57.9,9.9
04-01-2023 22:00,04-01-2023 23:00,482.0,303.0,1.9,55.65,6.05
04-01-2023 23:00,05-01-2023 00:00,447.0,283.0,1.71,46.1,4.57
05-01-2023 00:00,05-01-2023 01:00,400.0,250.75,1.46,45.25,8.22
05-01-2023 01:00,05-01-2023 02:00,252.0,160.0,1.32,37.12,9.03
05-01-2023 02:00,05-01-2023 03:00,219.0,141.0,1.11,32.6,10.22
05-01-2023 03:00,05-01-2023 04:00,251.0,132.75,0.9,28.0,10.0
05-01-2023 04:00,05-01-2023 05:00,193.0,98.0,0.87,28.2,12.82
05-01-2023 05:00,05-01-2023 06:00,309.0,117.0,0.83,25.55,11.95
05-01-2023 06:00,05-01-2023 07:00,346.0,115.0,0.79,23.02,13.15
05-01-2023 07:00,05-01-2023 08:00,274.0,115.0,0.77,22.15,14.93
05-01-2023 08:00,05-01-2023 09:00,231.0,106.0,0.77,24.1,14.53
05-01-2023 09:00,05-01-2023 10:00,246.0,106.0,0.75,25.35,8.6
05-01-2023 10:00,05-01-2023 11:00,148.0,88.0,0.85,27.12,8.2
05-01-2023 11:00,05-01-2023 12:00,175.0,113.0,0.89,28.35,13.22
05-01-2023 12:00,05-01-2023 13:00,181.0,129.0,0.87,29.65,13.97
05-01-2023 13:00,05-01-2023 14:00,181.0,136.0,0.86,35.23,13.2
05-01-2023 14:00,05-01-2023 15:00,182.0,130.25,0.86,29.92,26.08
05-01-2023 15:00,05-01-2023 16:00,190.0,144.0,0.85,41.22,31.5
05-01-2023 16:00,05-01-2023 17:00,222.0,152.25,0.85,47.82,14.77
05-01-2023 17:00,05-01-2023 18:00,262.0,170.75,0.94,28.18,11.0
05-01-2023 18:00,05-01-2023 19:00,234.0,149.0,1.17,35.63,10.37
05-01-2023 19:00,05-01-2023 20:00,304.0,206.0,1.49,44.42,7.88
05-01-2023 20:00,05-01-2023 21:00,366.0,248.0,1.61,46.3,7.95
05-01-2023 21:00,05-01-2023 22:00,322.0,228.25,2.13,76.95,10.47
05-01-2023 22:00,05-01-2023 23:00,440.0,336.0,2.16,83.28,15.17
05-01-2023 23:00,06-01-2023 00:00,649.0,363.0,1.51,68.73,20.07
06-01-2023 00:00,06-01-2023 01:00,592.0,304.0,1.48,55.03,13.62
06-01-2023 01:00,06-01-2023 02:00,538.0,251.75,1.25,41.92,11.92
06-01-2023 02:00,06-01-2023 03:00,416.0,191.0,1.19,39.0,12.02
06-01-2023 03:00,06-01-2023 04:00,366.0,177.0,1.11,32.15,12.93
06-01-2023 04:00,06-01-2023 05:00,351.0,164.0,1.0,30.23,12.9
06-01-2023 05:00,06-01-2023 06:00,322.0,142.0,0.93,25.53,11.82
06-01-2023 06:00,06-01-2023 07:00,254.0,122.0,0.87,28.2,11.57
06-01-2023 07:00,06-01-2023 08:00,261.0,123.0,0.88,28.6,10.27
06-01-2023 08:00,06-01-2023 09:00,264.0,130.0,0.93,25.4,8.2
06-01-2023 09:00,06-01-2023 10:00,279.0,138.25,1.02,29.73,10.05
06-01-2023 10:00,06-01-2023 11:00,304.0,179.0,1.16,36.12,19.45
06-01-2023 11:00,06-01-2023 12:00,361.0,232.0,1.27,45.07,20.88
06-01-2023 12:00,06-01-2023 13:00,417.0,275.0,1.16,42.28,28.67
06-01-2023 13:00,06-01-2023 14:00,351.0,240.0,1.05,51.48,23.78
06-01-2023 14:00,06-01-2023 15:00,1000.0,230.0,1.03,62.5,13.45
06-01-2023 15:00,06-01-2023 16:00,1000.0,217.0,0.98,67.22,11.88
06-01-2023 16:00,06-01-2023 17:00,1000.0,205.75,0.97,53.08,11.25
06-01-2023 17:00,06-01-2023 18:00,1000.0,177.0,1.0,42.0,10.4
06-01-2023 18:00,06-01-2023 19:00,1000.0,165.0,1.19,40.45,12.43
06-01-2023 19:00,06-01-2023 20:00,1000.0,197.25,1.48,54.42,18.07
06-01-2023 20:00,06-01-2023 21:00,1000.0,283.0,1.75,64.52,18.93
06-01-2023 21:00,06-01-2023 22:00,1000.0,322.0,1.87,68.17,11.55
06-01-2023 22:00,06-01-2023 23:00,1000.0,337.0,1.69,66.43,16.2
06-01-2023 23:00,07-01-2023 00:00,1000.0,324.0,1.5,58.53,20.07
07-01-2023 00:00,07-01-2023 01:00,1000.0,325.0,1.44,45.92,11.52
07-01-2023 01:00,07-01-2023 02:00,1000.0,322.0,1.29,53.15,23.52
07-01-2023 02:00,07-01-2023 03:00,1000.0,274.75,1.13,39.95,22.7
07-01-2023 03:00,07-01-2023 04:00,1000.0,173.75,1.06,33.98,16.2
07-01-2023 04:00,07-01-2023 05:00,1000.0,149.0,1.04,29.9,14.1
07-01-2023 05:00,07-01-2023 06:00,1000.0,140.0,1.03,30.48,13.77
07-01-2023 06:00,07-01-2023 07:00,1000.0,140.0,0.92,28.03,9.6
07-01-2023 07:00,07-01-2023 08:00,1000.0,118.75,0.86,26.93,6.95
07-01-2023 08:00,07-01-2023 09:00,1000.0,108.0,0.87,25.85,6.98
07-01-2023 09:00,07-01-2023 10:00,1000.0,116.0,0.88,30.58,8.43
07-01-2023 10:00,07-01-2023 11:00,1000.0,131.0,0.87,33.52,10.95
07-01-2023 11:00,07-01-2023 12:00,1000.0,155.0,0.89,39.58,15.55
07-01-2023 12:00,07-01-2023 13:00,1000.0,191.75,0.85,35.38,11.65
07-01-2023 13:00,07-01-2023 14:00,1000.0,159.0,0.84,33.95,25.55
07-01-2023 14:00,07-01-2023 15:00,1000.0,136.0,0.85,35.42,19.2
07-01-2023 15:00,07-01-2023 16:00,1000.0,123.0,0.81,33.5,12.85
07-01-2023 16:00,07-01-2023 17:00,1000.0,130.0,0.79,40.35,13.25
07-01-2023 17:00,07-01-2023 18:00,1000.0,159.0,0.79,30.82,14.32
07-01-2023 18:00,07-01-2023 19:00,1000.0,143.25,1.16,54.12,16.4
07-01-2023 19:00,07-01-2023 20:00,1000.0,262.0,1.55,62.05,12.9
07-01-2023 20:00,07-01-2023 21:00,1000.0,300.0,1.95,68.68,11.03
07-01-2023 21:00,07-01-2023 22:00,1000.0,309.0,1.73,54.52,6.72
